id,name,latitude,longitude
1,Дебют,56.8387088,60.598072
2,Городские цветы,56.8311531,60.6028251
3,Кардиган,56.829672,60.5854584
4,Вилы,56.8426554,60.6448571
5,Дудки,56.8405255,60.6083673
6,ТриО,56.8357707,60.6001892
7,Лакомка,56.8374012,60.6269286
8,Поль Бейкери,56.8336096,60.5969036
9,Family House,56.7741585,60.64571
10,Кировское,56.8504973,60.6842042
11,Шарташ,56.862564,60.6891359
12,Золотая середина,56.7610536,60.8031145
13,Никита,56.8373359,60.6566479
14,Хлебница,56.8417768,60.6313019
15,Глухомань,56.798075,60.5984287
16,Подсолнухи,56.8401644,60.610713
17,Аура,56.8554739,60.6538717
18,Поль Бейкери,56.8321854,60.5821636
19,Пан Пицца,56.8292381,60.6359916
20,Уралочка,56.8105803,60.790829
21,Brodsky,56.8459823,60.6501377
22,кафе Майское,56.8455611,60.6428253
23,Аль-Кух,56.8454584,60.6409907
24,Блокпост,56.8361635,60.600724
25,"ИНВЕСТТОРГ, столовая",56.8409571,60.6342778
26,ООО Электрон,56.8439208,60.6410611
27,"на Первомайской, 75",56.8456855,60.6396305
28,фонбет,56.8394204,60.6801404
29,Шейк,56.8337724,60.5858425
30,Кулинария Космос,56.8459018,60.6036973
31,TashKent,56.8482892,60.6098184
32,Люкс,56.8313702,60.5886109
33,Заравшан,56.8695689,60.5538003
34,Штолле,56.8429712,60.6051705
35,Изумруд,56.837653,60.5862887
36,Петров двор,56.8308243,60.6130786
37,Поль Бейкери,56.8399664,60.6107398
38,Пельмешка,56.8090338,60.7676757
39,Пан Пицца,56.8332977,60.5916626
40,Берлога,56.7843572,60.5311845
41,Русь,56.8361754,60.68861
42,Room,56.829991,60.5943571
43,Райсан,56.8299528,60.5940406
44,Маммас,56.8376938,60.6000375
45,Sanssario,56.839045,60.632381
46,Мадам Эклер,56.8365393,60.5822065
47,Восточное,56.7829125,60.6531522
48,Премиум,56.8126361,60.5473371
49,Усадьба,56.8438322,60.6051978
50,Шоко,56.8350306,60.6127259
51,Золотой марципан,56.8383212,60.6087194
52,Лагман,56.8138609,60.6095397
53,Кафетерий,56.8734694,60.6320023
54,Хлебничная,56.8224532,60.6307417
55,Хинкали,56.8123131,60.6090891
56,Макрус,56.7959977,60.629653
57,Амика,56.8317184,60.6935392
58,Столовая техникума РТИ,56.7817667,60.610666
59,Горячий хлеб,56.8494258,60.6071622
60,Шоколадница,56.8348708,60.6090554
61,Сибирский трактиръ,56.8187882,60.6678534
62,Поль Бейкери,56.835843,60.6215652
63,Европейская пекарня,56.8395288,60.618227
64,Мечта,56.8611699,60.6427172
65,Нячанг Сити,56.860415,60.6485172
66,Круиз,56.8563943,60.6403256
67,Оазис,56.8297323,60.6382048
68,Старый Дамаск,56.8405602,60.6570247
69,BOBO TEA,56.8428726,60.6467056
70,Мак Донер,56.8546567,60.6453897
71,Кушать подано,56.8315333,60.5873374
72,Дамаск,56.8375753,60.606383
73,Европейская пекарня,56.8352905,60.607014
74,Рафаэль,56.9054312,60.630812
75,Турист,56.9198091,60.6110006
76,Урал,56.8547111,60.6609509
77,Элат,56.8240738,60.6935238
78,Шоколадница,56.8243354,60.50567
79,На горке,56.8508187,60.588748
80,Шашлыкян и Шампуридзе,56.8243058,60.6162313
81,"Столовая ООО ""Лев""",56.8381284,60.6361503
82,Сим-Сим,56.8878868,60.5877147
83,Плакучая Ива,56.9074484,60.6026151
84,Погребок,56.8870848,60.58698
85,Пельменная,56.887981,60.5943035
86,Кальян,56.888467,60.5949246
87,Кофейня №7,56.8338088,60.5997032
88,Пати Шах,56.8090588,60.6127247
89,Синнабон,56.8314049,60.5969381
90,Настроение,56.8815253,60.5411926
91,Maria,56.8401169,60.6088018
92,Столовая,56.8732918,60.6571768
93,огонь. бургер. бар.,56.8558521,60.6059317
94,Кулинария Космос,56.8418125,60.6092874
95,Пекарушка,56.8408082,60.6541512
96,Пироги.Ру,56.8511223,60.616796
97,Вилка-ложка,56.8335425,60.5964795
98,Ситора,56.8349907,60.5928719
99,Столовая Масленица,56.8571099,60.6044594
100,Закусочная Шарташ,56.8745082,60.6898391
101,Лаззат,56.8349491,60.582844
102,Simple coffee,56.8335459,60.5925681
103,Бистро,56.8372688,60.5985094
104,Street cafe,56.833487,60.5930069
105,Эдем,56.8855936,60.5950945
106,Оливье,56.8869335,60.5268381
107,Поешь-ка,56.8479658,60.6207636
108,Злата печка,56.8376905,60.5465664
109,Cinnabon,56.8243379,60.5048189
110,Европейская пекарня,56.8309596,60.6187406
111,СЫТОешка,56.8562887,60.6535118
112,Чаплин,56.8919795,60.5923123
113,Большая Медведица,56.8340922,60.5850863
114,Дас колбас,56.8365193,60.594434
115,Буфет,56.8094164,60.5501067
116,Французский пекарь,56.8412305,60.6266834
117,Хазар,56.7858353,60.6082933
118,Демидовъ,56.8412301,60.5929616
119,Сарбон,56.8357371,60.6211294
120,Пан Пицца,56.8291866,60.6170418
121,Столовая,56.8642943,60.5924159
122,Смак,56.906491,60.6145436
123,Поль Бейкери,56.8398069,60.6197849
124,Кефир,56.8409767,60.6143934
125,Тихвинъ,56.8301978,60.5915617
126,Traveler's Coffee,56.8353306,60.5991618
127,Столовая,56.8433466,60.6938591
128,Аза,56.9138493,60.6100351
129,Вилла,56.8396539,60.6849412
130,Золотое яблоко,56.8367818,60.6235282
131,Вилка-ложка,56.8381156,60.6112966
132,Оазис,56.7779856,60.7179829
133,ODjah,56.8325026,60.5882667
134,Летнее кафе,56.8037953,60.7868716
135,Тропик-бар «Гамак»,56.7913837,60.6471799
136,Кафе-клуб «Тушь»,56.8413338,60.6118188
137,Lucky хлеб,56.8471342,60.6202894
138,Обедготов,56.8119649,60.5752757
139,Вилка-ложка,56.8367093,60.5944034
140,Пещера,56.8455779,60.5600168
141,Топ-столовая,56.843107,60.6264056
142,Ассорти,56.8907056,60.6145561
143,Вилка-ложка,56.8425268,60.6438576
144,Хачапурная №1,56.8383019,60.633577
145,Малибу,56.8872749,60.5922335
146,Талисман,56.8304496,60.5482525
147,Продукты,56.8106318,60.6051034
148,Столовая,56.8864729,60.6325579
149,Изумруд,56.8189183,60.516641
150,Тор-Шер,56.7933188,60.5743583
151,Кулинаръ,56.8427971,60.6152056
152,Кулинаръ,56.7914333,60.5217466
153,КакАо-какаО,56.8484157,60.6094233
154,Пекара by Петрович,56.850012,60.6044615
155,Simple coffee,56.8233794,60.6054971
156,Поль Бейкери,56.8235642,60.5044932
157,Любимые с детства,56.8584054,60.6051546
