id,type,name,latitude,longitude
1,bus_stop,Таганский ряд,56.8610442,60.5478216
2,bus_stop,Новгородцевой,56.8343105,60.6700939
3,bus_stop,Сады,56.8327544,60.3340556
4,bus_stop,Краснофлотцев,56.8849344,60.6146919
5,bus_stop,Отрадная,56.8174013,60.5321782
6,bus_stop,Норильская,56.8824749,60.6963295
7,bus_stop,Каменные палатки,56.8420847,60.6795436
8,tram_stop,Ж/Д Вокзал,56.856321,60.6057028
9,tram_stop,Кондукторская улица,56.8598948,60.6272177
10,tram_stop,Улица Учителей,56.8579512,60.6302607
11,tram_stop,Новгородцевой,56.8369488,60.6802533
12,tram_stop,Сиреневый бульвар,56.8350397,60.6850638
13,tram_stop,ЦПКиО (Центральный парк культуры и отдыха),56.8186606,60.6388362
14,tram_stop,УлицаТверитина,56.8227448,60.6359284
15,tram_stop,7 ключей,56.8835593,60.4981621
16,tram_stop,Маневровая улица,56.8737876,60.5182978
17,tram_stop,Теплоходный проезд,56.8633863,60.5406554
18,tram_stop,Улица Колмогорова,56.84649,60.5581093
19,tram_stop,Улица Колмогорова,56.8459447,60.5585561
20,tram_stop,Улица Кирова,56.8401587,60.5595626
21,tram_stop,Красноуральская улица,56.8359007,60.5554851
22,tram_stop,Малый Конный полуостров,56.8393185,60.5189041
23,tram_stop,Зелёный остров,56.8441783,60.4995323
24,tram_stop,Верх-Исетский бульвар,56.8381154,60.5753413
25,tram_stop,Улица Крылова,56.8395344,60.5703144
26,tram_stop,Педагогический университет,56.8779413,60.6117841
27,tram_stop,Калининская,56.8723394,60.6114251
28,tram_stop,1-й км,56.8629758,60.6120293
29,tram_stop,Пионерская,56.8601709,60.6184444
30,tram_stop,Техническое училище,56.8686037,60.6116386
31,tram_stop,Станция метро «Уралмаш»,56.887534,60.6126049
32,tram_stop,Площадь 1-й Пятилетки,56.8859723,60.594578
33,tram_stop,Улица Кузнецова,56.8884664,60.6081541
34,tram_stop,Дворец культуры им. Лаврова,56.8930473,60.6133854
35,tram_stop,Улица Уральских рабочих,56.9017117,60.5831806
36,tram_stop,Улица Машиностроителей,56.8850922,60.5848131
37,bus_stop,Первомайская,56.8420234,60.6326751
38,tram_stop,Московская улица,56.8290335,60.5835175
39,bus_stop,10-й км,56.7950932,60.7262807
40,bus_stop,Союз,56.8081909,60.7692565
41,bus_stop,Громова,56.7984232,60.5572316
42,bus_stop,Каменный ручей,56.7775307,60.6620451
43,bus_stop,Прониной,56.7739174,60.6671175
44,bus_stop,Байкальская,56.828727,60.6642197
45,bus_stop,Сад «Берёзка»,56.7836856,60.4714299
46,bus_stop,Госпиталь ВОВ,56.8101095,60.5068425
